Index,Maps URL,Status,Scrape Time,Name,Address,Category,Phone,Website,City,State,Maps Emails,Website Emails,All Emails,Email Count,Rating
1,https://www.google.com/maps/place/Montgomery+Street+Cafe/data=!4m7!3m6!1s0x864e73c64dd5eca5:0x4ecdb5ac07e2dc7c!8m2!3d32.7404561!4d-97.3701854!16s%2Fg%2F1tfq51h9!19sChIJpezVTcZzToYRfNziB6y1zU4?authuser=0&hl=en&rclk=1,SCRAPED,5.6,Montgomery Street Cafe,"
2000 Montgomery St, Fort Worth, TX 76107, United States",Restaurant,+1 (817) 731-8033,https://www.fortworth.com/listings/montgomery-street-cafe/2377/,Fort Worth,TX,,,,0,4.6
2,https://www.google.com/maps/place/HG+Sply+Co.+-+Fort+Worth/data=!4m7!3m6!1s0x864e722d2a89264b:0x12fb2f785fb197c8!8m2!3d32.7273918!4d-97.3594283!16s%2Fg%2F11cp5hgd8d!19sChIJSyaJKi1yToYRyJexX3gv-xI?authuser=0&hl=en&rclk=1,SCRAPED,5.6,HG Sply Co. - Fort Worth,"
1621 River Run #176, Fort Worth, TX 76107, United States",American restaurant,+1 (682) 730-6070,http://www.hgsplyco.com/fortworth,Fort Worth,TX,,"605a7baede844d278b89dc95ae0a9123@sentry-next.wixpress.com, 88170cb0c9d64f94b5821ca7fd2d55a4@sentry-next.wixpress.com, 8eb368c655b84e029ed79ad7a5c1718e@sentry.wixpress.com, 9a65e97ebe8141fca0c4fd686f70996b@sentry.wixpress.com, e0b4d631da7b4200828051f7f9c783e3@sentry-next.wixpress.com, fortworth@hgsplyco.com, infofortworth@hgsplyco.com, marketing@unco.com","605a7baede844d278b89dc95ae0a9123@sentry-next.wixpress.com, 88170cb0c9d64f94b5821ca7fd2d55a4@sentry-next.wixpress.com, 8eb368c655b84e029ed79ad7a5c1718e@sentry.wixpress.com, 9a65e97ebe8141fca0c4fd686f70996b@sentry.wixpress.com, e0b4d631da7b4200828051f7f9c783e3@sentry-next.wixpress.com, fortworth@hgsplyco.com, infofortworth@hgsplyco.com, marketing@unco.com",8,4.7
3,https://www.google.com/maps/place/Paris+7th+Restaurant+Fran%C3%A7ais/data=!4m7!3m6!1s0x864e73e9b9a34b99:0x38a998fb29b2f52d!8m2!3d32.7516593!4d-97.3660278!16s%2Fg%2F11gg_0q15s!19sChIJmUujuelzToYRLfWyKfuYqTg?authuser=0&hl=en&rclk=1,SCRAPED,5.8,Paris 7th Restaurant Français,"
3324 W 7th St, Fort Worth, TX 76107, United States",French restaurant,+1 (817) 489-5300,http://paris7th.com/,Fort Worth,TX,,"605a7baede844d278b89dc95ae0a9123@sentry-next.wixpress.com, 9a65e97ebe8141fca0c4fd686f70996b@sentry.wixpress.com, bfb679c754744c58a7374ee6e25cfc13@sentry.wixpress.com, e0b4d631da7b4200828051f7f9c783e3@sentry-next.wixpress.com, paris7threstaurant@gmail.com","605a7baede844d278b89dc95ae0a9123@sentry-next.wixpress.com, 9a65e97ebe8141fca0c4fd686f70996b@sentry.wixpress.com, bfb679c754744c58a7374ee6e25cfc13@sentry.wixpress.com, e0b4d631da7b4200828051f7f9c783e3@sentry-next.wixpress.com, paris7threstaurant@gmail.com",5,4.8
4,https://www.google.com/maps/place/The+Social+House/data=!4m7!3m6!1s0x864e73e75de351d7:0x3d15168c0eca10fc!8m2!3d32.7503734!4d-97.358536!16s%2Fg%2F11b6xzd5w6!19sChIJ11HjXedzToYR_BDKDowWFT0?authuser=0&hl=en&rclk=1,SCRAPED,5.6,The Social House,"
840 Currie St, Fort Worth, TX 76107, United States",New American restaurant,+1 (817) 820-1510,https://www.socialhousefortworth.com/,Fort Worth,TX,,events@thesyngroup.com,events@thesyngroup.com,1,4.3
5,https://www.google.com/maps/place/Vickery+Cafe/data=!4m7!3m6!1s0x864e724b535cc355:0x8a0da98ce5209d7!8m2!3d32.750726!4d-97.352071!16s%2Fg%2F1tg_xhj5!19sChIJVcNcU0tyToYR1wlSzpjaoAg?authuser=0&hl=en&rclk=1,SCRAPED,5.7,Vickery Cafe,"
2421 W 7th St Ste #109, Fort Worth, TX 76107, United States",American restaurant,+1 (817) 731-9933,https://www.vickerycafe.com/,Fort Worth,TX,,,,0,4.5
6,https://www.google.com/maps/place/Lucile%E2%80%99s/data=!4m7!3m6!1s0x864e73a66673c2c1:0xb6481b7a491bd505!8m2!3d32.7393791!4d-97.3906315!16s%2Fg%2F1vhkkz16!19sChIJwcJzZqZzToYRBdUbSXobSLY?authuser=0&hl=en&rclk=1,SCRAPED,5.8,Lucile’s,"
4700 Camp Bowie Blvd, Fort Worth, TX 76107, United States",Traditional American restaurant,+1 (817) 738-4761,https://lucilesstatesidebistro.com/,Fort Worth,TX,,,,0,4.4
7,https://www.google.com/maps/place/Chuy%27s/data=!4m7!3m6!1s0x864e715ffcee49ab:0xd35ef4f73edf715d!8m2!3d32.7506901!4d-97.3514273!16s%2Fg%2F1wj_6fm5!19sChIJq0nu_F9xToYRXXHfPvf0XtM?authuser=0&hl=en&rclk=1,SCRAPED,5.7,Chuy's,"
2401 W 7th St Suite 110, Fort Worth, TX 76107, United States",Restaurant,+1 (817) 332-2489,https://www.chuys.com/locations/tx/fort-worth/fort-worth-tx/6022?cmpid=br:chy_ag:ie_ch:loc_ca:CHYGMB_sn:gmb_gt:fort-worth-tx-6022_pl:locurl_rd:1021,Fort Worth,TX,hey@chuys.com,,hey@chuys.com,1,4.4
8,https://www.google.com/maps/place/rise+souffl%C3%A9+-+Fort+Worth/data=!4m7!3m6!1s0x864e72f6c9d52963:0x7cb0f6ba98fe1c23!8m2!3d32.710478!4d-97.398721!16s%2Fg%2F11f18pv489!19sChIJYynVyfZyToYRIxz-mLr2sHw?authuser=0&hl=en&rclk=1,SCRAPED,5.6,rise soufflé - Fort Worth,"
5135 Monahans Ave, Fort Worth, TX 76107, United States",French restaurant,+1 (817) 737-7473,http://www.risesouffle.com/,Fort Worth,TX,,,,0,4.7
9,"https://www.google.com/maps/place/Snooze,+an+A.M.+Eatery/data=!4m7!3m6!1s0x864e716d546e40af:0xb412635a2d2bf775!8m2!3d32.7513151!4d-97.3486452!16s%2Fg%2F11gmjh5lh8!19sChIJr0BuVG1xToYRdfcrLVpjErQ?authuser=0&hl=en&rclk=1",SCRAPED,5.8,"Snooze, an A.M. Eatery","
2150 W 7th St Suite 108, Fort Worth, TX 76107, United States",Breakfast restaurant,+1 (682) 350-9970,https://www.snoozeeatery.com/restaurant/texas/left-bank/?utm_source=Google&utm_medium=BusinessListing,Fort Worth,TX,,,,0,4.3
10,https://www.google.com/maps/place/Piola+Italian+Restaurant+%26+Garden/data=!4m7!3m6!1s0x864e73ea9ed049dd:0xe3e458df416c4228!8m2!3d32.7498283!4d-97.3717481!16s%2Fg%2F1tdzgdhy!19sChIJ3UnQnupzToYRKEJsQd9Y5OM?authuser=0&hl=en&rclk=1,SCRAPED,5.6,Piola Italian Restaurant & Garden,"
3700 Mattison Ave, Fort Worth, TX 76107, United States",Italian restaurant,+1 (817) 989-0007,http://www.fwpiola.com/,Fort Worth,TX,,piolarestaurant@hotmail.com,piolarestaurant@hotmail.com,1,4.4
